platform,time,type,head,views,reach,saved,likes,comments,permalink
Instagram,?,リール,8月ももうすぐ終わります。,-,-,-,0,0,https://www.instagram.com/reel/Dcn5VgrjKZE/
Instagram,?,リール,今日 8/28（金）は満月です。午後1時18分。,-,-,-,0,0,https://www.instagram.com/reel/DclUlJ8DAvC/
Instagram,?,リール,明日は満月です。,-,-,-,0,0,https://www.instagram.com/reel/DcivvnSj2Np/
Instagram,?,リール,数字に意味がつくのは、だいたい言葉の音からです。,-,-,-,0,0,https://www.instagram.com/reel/DcgK8kWDXY2/
Instagram,?,リール,今日 8/25（火）は一粒万倍日です。,-,-,-,0,0,https://www.instagram.com/reel/DcdmJwjj4mW/
Instagram,?,リール,8月も残り1週間です。,-,-,-,0,0,https://www.instagram.com/reel/DcbBWvyjt2-/
Instagram,?,リール,今日 8/23（日）は己巳（つちのとみ）の日です,-,-,-,0,0,https://www.instagram.com/reel/DcYco6xgSCX/
Instagram,?,リール,北枕は縁起が悪い、と言われます。,-,-,-,0,0,https://www.instagram.com/reel/DcV3xaegmyb/
Instagram,?,リール,考えないで選んでください。,-,-,-,1,0,https://www.instagram.com/reel/DcTS-WTDwzM/
Instagram,?,リール,今月、迷っていることがある人へ。,-,-,-,1,0,https://www.instagram.com/reel/DcGbAFLlBW7/
Instagram,?,リール,この投稿が流れてきた人へ。,-,-,-,0,0,https://www.instagram.com/reel/Db8H0xZgpEa/
Instagram,?,リール,なんとなく疲れている人へ。,-,-,-,0,0,https://www.instagram.com/reel/DbvP3dlnVkG/
Instagram,?,画像,今日 8/6（木）は大安です。,-,-,-,0,0,https://www.instagram.com/p/DbsrDHRmezm/
Instagram,?,画像,金は、どうして「豊かさの色」と言われるようになっ,-,-,-,0,0,https://www.instagram.com/p/DbqGP8OmVao/
Instagram,?,画像,【保存推奨】8月の開運日カレンダー,-,-,-,0,0,https://www.instagram.com/p/DbiX3VgmcxT/
Instagram,?,リール,直感で選んだ色で、いまの状態がわかります。,-,-,-,0,0,https://www.instagram.com/reel/DbfzJ5djKKP/
Instagram,?,画像,今日 7/31（金）は、一粒万倍日と大安が重なり,-,-,-,0,0,https://www.instagram.com/p/DbdORr1mT4C/
Instagram,?,画像,はじめまして。ひかりです。,-,-,-,0,0,https://www.instagram.com/p/DbXNwe8mX1J/
Instagram,?,リール,【ただ9秒間、見つめてください】,-,-,-,0,0,https://www.instagram.com/reel/DbDhTgAFJ7n/
Instagram,?,リール,【9秒間、じっと眺めてください】,-,-,-,0,0,https://www.instagram.com/reel/Da-cfwCEUZt/
Instagram,?,リール,この動画が流れてきたのは、魂の浄化が始まるサイン,-,-,-,0,0,https://www.instagram.com/reel/DWqk5UYip5K/
Instagram,?,リール,4月、新しい気の流れが始まりましたね。,-,-,-,0,0,https://www.instagram.com/reel/DWlcy2LCgC0/
Instagram,?,リール,4/15、運命の扉が開きます。,-,-,-,0,0,https://www.instagram.com/reel/DWjOtUkChsU/
Threads,?,メディア,8月ももうすぐ終わります。,11,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/Dcn5bFrDy-6
Threads,?,メディア,今日 8/28（金）は満月です。午後1時18分。,13,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/DclUpqilHNo
Threads,?,メディア,明日は満月です。,1,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/DcivzEejL-q
Threads,?,メディア,数字に意味がつくのは、だいたい言葉の音からです。,161,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/DcgLCIyDWWn
Threads,?,メディア,今日 8/25（火）は一粒万倍日です。,22,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/DcdmNdbCm6J
Threads,?,メディア,8月も残り1週間です。,2,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/DcbBaMfijx7
Threads,?,メディア,今日 8/23（日）は己巳（つちのとみ）の日です,19,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/DcYctPniMBn
Threads,?,メディア,北枕は縁起が悪い、と言われます。,46,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/DcV32TXknJe
Threads,?,メディア,考えないで選んでください。,17,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/DcTTD81DybO
Threads,?,メディア,今月、迷っていることがある人へ。,2,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/DcGbFQsD2ts
Threads,?,メディア,この投稿が流れてきた人へ。,79,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/Db8H5zrAKZ6
Threads,?,メディア,なんとなく疲れている人へ。,5,-,-,0,0,https://www.threads.com/@kodoshi_hikari/post/DbvP9a6mczy
