id,post_time,media_url,media_type,caption,status,posted_at,instagram_post_id,threads_status,threads_posted_at,threads_post_id
1,2026-07-28 21:00:00,https://tachikoma865.github.io/happyart/post_images/aug/pre01_hajimemashite.png,IMAGE,"はじめまして。ひかりです。

色と暦から、毎日をすこし整えるヒントを置いていきます。

さっそくですが、ひとつ。
下の3色から、直感で1つ選んでください。

1・金／2・青／3・桃

考えないでください。
先に目が留まったほうが、たいてい当たっています。

・
・
・

【1・金を選んだあなた】
外に向かう力が高まっている時期。
金は昔から、豊かさや成功の象徴とされてきた色です。
やろうか迷っていることがあるなら、いまは「やってみる」側に倒していい頃かもしれません。

【2・青を選んだあなた】
少し休みたい、という気持ちがどこかにありませんか。
青は水と空の色。静けさと結びつけられてきました。
予定を足すより、ひとつ減らすほうがうまくいく時期です。

【3・桃を選んだあなた】
人との関わりに意識が向いています。
桃色は昔から、縁を表す色とされてきました。
しばらく連絡していない人の顔が浮かんだなら、それがきっかけかもしれません。

このアカウントでは、こんなことを書いていきます。

▸ 直感で選ぶ色占い
▸ 一粒万倍日や新月など、暦の話
▸ 今日からできる開運の習わし
▸ 色や数字が持つ意味

どれも「そう言われてきた」という話として、たのしく受け取ってもらえたらうれしいです。

あなたは何番でしたか？ コメントで教えてください👀

──────────
もっと詳しい色の読みときは、プロフィールの公式LINEで。
無料で受け取れます。

#選択占い #直感占い #色占い #今日の占い #当たる占い #占い好きな人と繋がりたい #スピリチュアル #開運",posted,2026-07-29 13:05:00,17859320058676037,posted,2026-08-07 03:05:00,18006656822760577
2,2026-07-31 21:00:00,https://tachikoma865.github.io/happyart/post_images/aug/pre03_ichiryu_taian.png,IMAGE,"今日 7/31（金）は、一粒万倍日と大安が重なります。

7月の締めくくりに、なかなかいい日が来ました。

一粒万倍日は、一粒の籾が万倍にも実るという意味の日。
昔から「始めること」に向くとされてきました。

大安は六曜のなかで「何をするにも障りがない」とされる日。
決めごとや契約を合わせる人が多い日です。

明日から8月です。
月が変わる前日に、ひとつだけ決めておきませんか。

▸ 8月に始めたいことを1つ書き出す
▸ 財布を新しくする
▸ 積立の設定をする

大きなことでなくて大丈夫です。
「毎朝5分だけ早く起きる」でも十分です。

ひとつだけ、覚えておくといいこと。
一粒万倍日は「増える」意味の日なので、
借金やものを増やしすぎることは避けたほうがいい、とも言われてきました。

8月の開運日カレンダーは、8月2日にまとめてお届けします。

今日、何を決めますか？

#開運日 #一粒万倍日 #暦 #吉日 #開運カレンダー #開運 #スピリチュアル #占い好きな人と繋がりたい",posted,2026-07-31 21:05:00,18098202986461077,posted,2026-08-07 04:05:01,17907099462461329
3,2026-08-01 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/01_choice.mp4,REELS,"直感で選んだ色で、いまの状態がわかります。

1・金／2・青／3・桃
考える前に、目が留まった色が答えです。

・
・
・

【1・金】
外に向かうエネルギーが高まっている時期。
金は昔から豊かさや成功の象徴とされてきた色です。
迷っていることがあるなら、今月は「やってみる」側に倒していい時期かもしれません。

【2・青】
少し休みたい、という気持ちがどこかにありませんか。
青は水や静けさと結びつけられてきた色。
予定を詰めるより、余白をつくるほうがうまくいく時期です。

【3・桃】
人との関わりに意識が向いています。
桃色は昔から縁を表す色とされてきました。
しばらく連絡していない人が浮かんだなら、それがサインかもしれません。

8月が始まりました。
今月の開運日は、明日まとめてお届けします。

あなたは何番でしたか？ コメントで教えてください👀

──────────
もっと詳しい色の読みときは、プロフィールの公式LINEで。
無料で受け取れます。

#選択占い #直感占い #色占い #今日の占い #当たる占い #占い好きな人と繋がりたい #スピリチュアル #開運",posted,2026-08-01 21:05:01,18346849804223149,posted,2026-08-07 05:05:00,18074578568360189
4,2026-08-02 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/02_calendar.mp4,REELS,"【保存推奨】8月の開運日カレンダー

暦の上で「良い日」とされている日をまとめました。
スクショして手帳に入れておくと便利です。

🌾 一粒万倍日
8/3（月）8/13（木）8/18（火）8/25（火）8/30（日）
一粒の籾が万倍に実るという意味の日。「始めること」に向くとされています。

🌑 新月：8/13（木）午前2時36分
願いを書き出すタイミングと言われます。

🌕 満月：8/28（金）午後1時18分
手放すタイミングと言われます。

⭐ 8/18（火）は一粒万倍日と甲子の日が重なります
甲子は十干十二支のいちばん最初。「始まり」に向くとされる日です。

💰 8/23（日）は己巳の日と大安が重なります
巳は弁財天の遣いとされ、金運にまつわる日として知られています。

そして、ひとつお伝えしておくことがあります。
8月に天赦日はありません。次は10月1日で、一粒万倍日と重なります。

8月、何か始めたいことはありますか？

#開運日 #一粒万倍日 #暦 #吉日 #開運カレンダー #開運 #スピリチュアル #占い好きな人と繋がりたい",cancelled,,公開が間に合わず日付が過ぎたため取りやめ(8/10判断),failed,2026-08-07 06:05:00,メディア処理エラー
5,2026-08-03 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/03_ichiryu.mp4,REELS,"今日 8/3（月）は一粒万倍日です。

一粒の籾が万倍にも実る、という意味を持つ日。
昔から「始めること」に向くとされてきました。

こんなことを合わせる人が多い日です。
▸ 財布を使い始める
▸ 口座を開く
▸ 習い事や勉強を始める
▸ 銀行に少し多めに入れておく

ひとつだけ、覚えておくといいこと。
一粒万倍日は「増える」意味の日なので、
借金やものを増やしすぎることは避けたほうがいい、とも言われてきました。

今日、何か小さく始めますか？
コメントで教えてください。

#開運日 #一粒万倍日 #暦 #吉日 #開運カレンダー #開運 #スピリチュアル #占い好きな人と繋がりたい",cancelled,,公開が間に合わず日付が過ぎたため取りやめ(8/10判断),failed,2026-08-07 07:05:00,メディア処理エラー
6,2026-08-04 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/04_wallet.mp4,REELS,"新しい財布、買ってすぐ使っていませんか。

昔から言われている「使い始め方」があります。

1. 使い始めの日を選ぶ
一粒万倍日や大安に合わせる人が多いです。
「増える」意味を持つ日に始める、という考え方から来ています。

2. 最初に多めのお金を入れて寝かせる
財布はその金額を覚える、と言われてきました。
数日入れておいてから使い始める人が多いです。

3. レシートを溜めない
これは実用の話でもあります。
中身が見えていないと、お金の流れも見えなくなります。

4. 定位置を決める
帰ったらここに置く、と決めておく。
探す時間が減るだけでも、日々のストレスが変わります。

3と4は、正直かなり現実的な効果があります。
1と2は「そういう習わし」として楽しむくらいがちょうどいいと思っています。

次の一粒万倍日は 8/13（木）です。
あなたはどれかやっていますか？

#開運 #開運習慣 #開運アクション #暮らしの知恵 #運気アップ #スピリチュアル #丁寧な暮らし",cancelled,,公開が間に合わず日付が過ぎたため取りやめ(8/10判断),failed,2026-08-07 08:05:00,メディア処理エラー
7,2026-08-05 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/05_color_gold.mp4,REELS,"金は、どうして「豊かさの色」と言われるようになったのか。

理由のひとつは、単純に希少だったからです。
簡単には手に入らないものが、そのまま価値の象徴になりました。

もうひとつは、光を返す色だからです。
金は自ら光るわけではなく、受けた光を反射しています。
外から来たものを、返す色。

日本では古くから、仏像や屏風、蒔絵に使われてきました。
神聖なもの、大切なものを包む色として選ばれてきた歴史があります。

色の意味は、こうやって人が積み重ねてきたものです。
だから「効く色」というより、「そう扱われてきた色」と考えるほうが、
私はしっくりきます。

あなたは金色に、どんな印象がありますか？

#色の意味 #カラー診断 #色占い #開運カラー #スピリチュアル #占い好きな人と繋がりたい #開運",cancelled,,公開が間に合わず日付が過ぎたため取りやめ(8/10判断),failed,2026-08-07 09:05:00,メディア処理エラー
8,2026-08-06 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/06_taian.mp4,REELS,"今日 8/6（木）は大安です。

六曜のなかで「何をするにも障りがない」とされてきた日。
結婚式や納車、契約などを合わせる人が多い日です。

六曜はもともと中国から入ってきた考え方で、
江戸時代の後半から日本の暦に広く載るようになりました。

大安・友引・先勝・先負・赤口・仏滅の6つが順に巡ります。

面白いのは、六曜は暦の上の決まりごとで回っているだけで、
その日の天気や星の動きとは関係がないことです。
それでも何百年も使われ続けてきたのは、
「日を選ぶ」という行為そのものに、意味があったからかもしれません。

今日は何か決めごとをしますか？

#開運日 #一粒万倍日 #暦 #吉日 #開運カレンダー #開運 #スピリチュアル #占い好きな人と繋がりたい",cancelled,,公開が間に合わず日付が過ぎたため取りやめ(8/10判断),failed,2026-08-07 10:05:00,メディア処理エラー
9,2026-08-07 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/07_choice.mp4,REELS,"なんとなく疲れている人へ。

直感で1色選んでください。
1・金／2・青／3・桃

・
・
・

【1・金】
やりたいことは、もう決まっているのかもしれません。
足りないのは情報ではなく、始める合図のほうです。

【2・青】
休むことを後回しにしていませんか。
青は静けさの色。今週は予定をひとつ減らしてみてください。

【3・桃】
人に気を遣いすぎて、自分の分が残っていない時期。
断ってもいい場面が、たぶんひとつあります。

何番でしたか？ コメントで教えてください。

──────────
もっと詳しい色の読みときは、プロフィールの公式LINEで。
無料で受け取れます。

#選択占い #直感占い #色占い #今日の占い #当たる占い #占い好きな人と繋がりたい #スピリチュアル #開運",posted,2026-08-07 21:05:00,18024198950751245,posted,2026-08-07 21:06:03,18125760274668622
10,2026-08-08 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/08_tora.mp4,REELS,"今日 8/8（土）は寅の日です。

寅は「千里を行って千里を帰る」と言われてきた動物。
そこから、出したものが戻ってくる日とされてきました。

だから昔から、こんなことを合わせる人が多い日です。
▸ 財布を使い始める
▸ 旅に出る
▸ 出かける約束をする

逆に、戻ってきてほしくないことは避ける、とも言われます。
たとえば嫁入りは「帰ってきてしまう」ので避けられてきました。

8月の寅の日は 8/8（土）と 8/20（木）の2日だけです。

言い伝えの理屈が分かると、暦は少し面白くなります。

#開運日 #一粒万倍日 #暦 #吉日 #開運カレンダー #開運 #スピリチュアル #占い好きな人と繋がりたい",cancelled,,公開が間に合わず日付が過ぎたため取りやめ(8/10判断),failed,2026-08-08 21:05:01,メディア処理エラー
11,2026-08-09 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/09_genkan.mp4,REELS,"玄関は「気の入口」と言われてきました。

理屈を抜きにしても、毎日必ず通る場所なので、
ここが整っているかどうかは体感でわかります。

やめたほうがいいと言われてきたこと。

1. 靴を出しっぱなしにする
出しておくのは、その日履く分だけ。

2. 段ボールや荷物を置く
一時置きのつもりが、いちばん長く居座ります。

3. 鏡を正面に置く
入ってきた気を跳ね返す、とされています。
横に置くのが良い、と言われてきました。

4. 枯れた植物をそのままにする
これは見た目の問題としても大きいです。

5. 照明を暗いままにする
暗い玄関は、それだけで気が重くなります。

3だけは言い伝えですが、1・2・4・5は普通に暮らしが軽くなります。

今日、靴を1足しまうところからどうぞ。

#開運 #開運習慣 #開運アクション #暮らしの知恵 #運気アップ #スピリチュアル #丁寧な暮らし",cancelled,,公開が間に合わず日付が過ぎたため取りやめ(8/10判断),failed,2026-08-09 21:05:00,メディア処理エラー
12,2026-08-10 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/10_color_blue.mp4,REELS,"青は、人がいちばん最後に名前をつけた色だと言われます。

古い言語には「青」を指す言葉がないものが多く、
緑や黒とひとまとめにされていました。
日本語で「青信号」「青菜」と言うのも、その名残です。

自然界に青い顔料はほとんどありません。
だから青は長いあいだ、手に入りにくい色でした。

いま青が「静けさ」「冷静さ」と結びついているのは、
水と空という、いちばん大きくて動かないものの色だからでしょう。

見上げても、見下ろしても青がある。
それが落ち着きの感覚につながっているのだと思います。

あなたは青を見て、何を思い出しますか？

#色の意味 #カラー診断 #色占い #開運カラー #スピリチュアル #占い好きな人と繋がりたい #開運",cancelled,,公開されず日付超過のため取りやめ(8/20),failed,2026-08-10 21:05:00,メディア処理エラー
13,2026-08-11 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/11_mi.mp4,REELS,"今日 8/11（火）は巳の日です。

蛇は弁財天の遣いとされてきました。
弁財天は音楽や言葉、そして財をつかさどるとされる神さま。

そこから巳の日は、金運にまつわる日として扱われてきました。

こんなことを合わせる人が多い日です。
▸ 財布を新しくする
▸ 弁財天を祀る神社にお参りする
▸ お金まわりの整理をする

今月はもう1日、8/23（日）に巳の日があります。
しかもその日は「己巳の日」といって、60日に一度しか巡ってきません。
さらに大安とも重なります。

8/23、手帳に印をつけておいてください。

#開運日 #一粒万倍日 #暦 #吉日 #開運カレンダー #開運 #スピリチュアル #占い好きな人と繋がりたい",cancelled,,公開されず日付超過のため取りやめ(8/20),failed,2026-08-11 21:05:00,メディア処理エラー
14,2026-08-12 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/12_choice.mp4,REELS,"この投稿が流れてきた人へ。

直感で1色選んでください。
1・金／2・青／3・桃

・
・
・

【1・金】
人と比べる気持ちが出やすい時期。
比べる相手を減らすと、それだけで進みます。

【2・青】
考えすぎて動けなくなっていませんか。
情報を集める段階は、もう終わっているかもしれません。

【3・桃】
誰かに伝えそびれている言葉があります。
明日でもいいですが、今日のほうが軽いです。

明日 8/13 は新月と一粒万倍日が重なる日です。
何番だったか、コメントで教えてください。

──────────
もっと詳しい色の読みときは、プロフィールの公式LINEで。
無料で受け取れます。

#選択占い #直感占い #色占い #今日の占い #当たる占い #占い好きな人と繋がりたい #スピリチュアル #開運",posted,2026-08-12 21:05:00,18112232002777911,posted,2026-08-12 21:05:45,17927547957389533
15,2026-08-13 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/13_shingetsu.mp4,REELS,"今日 8/13（木）は、新月と一粒万倍日が重なります。

新月は午前2時36分。
月が姿を消して、そこからまた満ちていく起点の日です。
昔から「願いを立てるタイミング」と言われてきました。

そこに一粒万倍日が重なります。
一粒の籾が万倍に実る、という意味の日。

新月に願いを書くときのやり方として、よく言われるもの。

▸ 紙に手で書く
▸ 「〜します」と言い切る形で書く
▸ 10個くらいまでにする
▸ 満月の日に読み返す

読み返す日は 8/28（金）です。

これは占いというより、自分が何を望んでいるのか整理する作業に近いです。
書いてみると、意外と自分でも忘れていたことが出てきます。

今日、何を書きますか？

#開運日 #一粒万倍日 #暦 #吉日 #開運カレンダー #開運 #スピリチュアル #占い好きな人と繋がりたい",cancelled,,公開されず日付超過のため取りやめ(8/20),failed,2026-08-13 21:05:00,メディア処理エラー
16,2026-08-14 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/14_kishuku.mp4,REELS,"今日 8/14（金）は鬼宿日です。

二十八宿という、月の位置で日を分ける暦の考え方があります。
そのなかで鬼宿は、最良の日とされてきました。

名前は物騒ですが、意味は逆です。
「鬼が家にこもっていて外を出歩かない日」だから、
何をしても邪魔が入らない、という理屈です。

お釈迦さまが生まれた日とも言われています。

ただ、ひとつだけ避けるとされることがあります。
婚礼です。理由ははっきりしませんが、そう伝えられてきました。

今日はお盆の時期でもあります。
ご先祖のことを思い出す日として過ごすのも、いい使い方だと思います。

#開運日 #一粒万倍日 #暦 #吉日 #開運カレンダー #開運 #スピリチュアル #占い好きな人と繋がりたい",cancelled,,公開されず日付超過のため取りやめ(8/20),failed,2026-08-14 21:05:01,メディア処理エラー
17,2026-08-15 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/15_obon.mp4,REELS,"お盆は、ご先祖が家に帰ってくるとされる期間です。

やってきたことには、ひとつずつ意味があります。

▸ 迎え火
帰ってくる道が分かるように焚く火。

▸ きゅうりの馬・なすの牛
馬は早く帰ってこられるように。
牛はゆっくり帰れるように。行きと帰りで速さを変えています。

▸ お供え
分け合うためのもの。下げたあとは家族でいただきます。

▸ 送り火
また来年、と送り出す火。

地域や家によってやり方はまったく違います。
「正しいやり方」を探すより、その家のやり方に合わせるのがいちばんです。

何もしない年があっても、それはそれで構わないと思っています。
思い出した、というだけで十分な行事だと感じます。

あなたの家では、何かしていますか？

#開運 #開運習慣 #開運アクション #暮らしの知恵 #運気アップ #スピリチュアル #丁寧な暮らし",cancelled,,公開されず日付超過のため取りやめ(8/20),failed,2026-08-15 21:05:00,メディア処理エラー
18,2026-08-16 21:00:00,https://tachikoma865.github.io/happyart/reels_output/aug/16_choice.mp4,REELS,"今月、迷っていることがある人へ。

直感で1色選んでください。
1・金／2・青／3・桃

・
・
・

【1・金】
迷っているのではなく、答えが出ているのに動いていない状態かもしれません。

【2・青】
情報が多すぎて選べなくなっています。
条件を1つ捨てると、急に決まります。

【3・桃】
誰かの意見が気になって決められない時期。
相談相手を1人に絞ってみてください。

何番でしたか？ コメントで教えてください。

──────────
もっと詳しい色の読みときは、プロフィールの公式LINEで。
無料で受け取れます。

#選択占い #直感占い #色占い #今日の占い #当たる占い #占い好きな人と繋がりたい #スピリチュアル #開運",posted,2026-08-16 21:05:00,18342363547265325,posted,2026-08-16 21:05:46,18107660729136774
